start_area,end_area,distance_km,time_of_day,day_of_week,weather_condition,traffic_density_level,road_type,average_speed_kmph,travel_time_minutes
Greater Kailash,Rohini,28.43,Morning Peak,Weekend,Clear,Very High,Highway,15.0,118.4
Model Town,Connaught Place,9.58,Afternoon,Weekday,Rain,High,Inner Road,8.0,79.6
Nehru Place,IGI Airport,14.99,Evening Peak,Weekend,Heatwave,High,Main Road,16.1,54.7
Noida Sector 18,Preet Vihar,8.57,Afternoon,Weekday,Clear,Medium,Main Road,43.8,12.3
Hauz Khas,Dwarka,15.78,Night,Weekend,Fog,Low,Highway,32.9,27.9
Janakpuri,Nehru Place,18.07,Afternoon,Weekend,Rain,Low,Highway,42.9,24.6
Vasant Kunj,Saket,4.88,Evening Peak,Weekend,Clear,High,Main Road,24.2,12.2
Preet Vihar,Civil Lines,7.88,Morning Peak,Weekday,Clear,High,Inner Road,12.0,41.0
Dwarka,Lajpat Nagar,18.84,Morning Peak,Weekday,Rain,Very High,Highway,11.8,94.5
Greater Kailash,Saket,3.66,Morning Peak,Weekday,Rain,Very High,Highway,12.1,17.7
Preet Vihar,Lajpat Nagar,9.58,Evening Peak,Weekend,Clear,Medium,Inner Road,25.4,24.8
Nehru Place,Chandni Chowk,11.5,Afternoon,Weekday,Clear,Medium,Main Road,29.4,24.6
Lajpat Nagar,Rajouri Garden,14.1,Night,Weekend,Clear,Low,Highway,59.8,14.9
Lajpat Nagar,Punjabi Bagh,15.06,Evening Peak,Weekday,Clear,High,Main Road,29.4,30.5
Kalkaji,Janakpuri,18.68,Morning Peak,Weekday,Clear,Very High,Highway,15.6,74.7
AIIMS,Nehru Place,4.68,Afternoon,Weekday,Heatwave,Medium,Inner Road,19.1,15.1
Karol Bagh,Pitampura,8.11,Morning Peak,Weekday,Rain,High,Main Road,14.5,33.4
Chandni Chowk,Okhla,13.88,Night,Weekend,Clear,Low,Highway,80.6,10.9
IGI Airport,Kalkaji,15.01,Night,Weekday,Clear,Medium,Highway,48.2,18.8
Mayur Vihar,Connaught Place,7.89,Afternoon,Weekend,Clear,Medium,Inner Road,27.2,17.5
Saket,IGI Airport,11.0,Afternoon,Weekday,Rain,High,Main Road,19.3,33.4
Greater Kailash,Saket,3.66,Morning Peak,Weekend,Heatwave,Medium,Inner Road,12.5,17.9
Civil Lines,Saket,17.43,Morning Peak,Weekday,Clear,Very High,Highway,17.4,58.7
Vasant Kunj,Connaught Place,13.75,Morning Peak,Weekday,Fog,High,Highway,20.7,40.8
Shahdara,Lajpat Nagar,12.53,Morning Peak,Weekday,Clear,Very High,Inner Road,9.1,92.1
Shahdara,Saket,18.39,Evening Peak,Weekday,Heatwave,Medium,Main Road,40.1,29.0
Pitampura,Janakpuri,10.13,Evening Peak,Weekday,Clear,High,Main Road,20.2,29.8
Rohini,Kalkaji,30.48,Evening Peak,Weekday,Clear,Medium,Highway,53.0,38.8
Chandni Chowk,Nehru Place,11.5,Evening Peak,Weekday,Clear,Medium,Main Road,32.9,21.6
Greater Kailash,Nehru Place,1.9,Evening Peak,Weekday,Clear,Very High,Inner Road,8.0,14.7
Punjabi Bagh,Karol Bagh,6.08,Night,Weekend,Rain,Low,Main Road,30.9,11.6
Rajouri Garden,Chandni Chowk,10.59,Morning Peak,Weekday,Clear,Medium,Main Road,36.7,18.2
IGI Airport,Civil Lines,18.43,Morning Peak,Weekday,Clear,High,Highway,43.3,27.5
Model Town,Hauz Khas,18.43,Morning Peak,Weekday,Fog,High,Highway,18.6,57.8
Saket,Punjabi Bagh,17.62,Evening Peak,Weekend,Clear,High,Main Road,22.3,46.0
Mayur Vihar,Noida Sector 18,5.74,Morning Peak,Weekday,Clear,High,Main Road,26.4,14.5
Dwarka,Punjabi Bagh,11.86,Evening Peak,Weekday,Rain,Very High,Inner Road,5.2,137.8
Janakpuri,Vasant Kunj,13.24,Afternoon,Weekday,Heatwave,Medium,Main Road,31.0,26.0
